"礼装キリア","Attired Killia","JA","EN"
"礼装セラフィーヌ","Attired Seraphina","JA","EN"
"雷帝ラハール","Thunderlord Laharl","JA","EN"
"シシリーXENO","Sicily XENO","JA","EN"
"サンタアデル","Santa Adell","JA","EN"
"サンタロザリンド","Santa Rozalin","JA","EN"
"晴れ着ラハールちゃん","Attired Girl Laharl","JA","EN"
"巫女シシリー","Maiden Sicily","JA","EN"
"超魔王ラハール","Tyrant Overlord Laharl","JA","EN"
"メロディア","Melodia","JA","EN"
"イヴァール","Ivar","JA","EN"
"エミリア","Emilia","JA","EN"
"レム","Rem","JA","EN"
"ラム","Ram","JA","EN"
"スイートオメガ","Sweet Omega","JA","EN"
"プリエ","Prier","JA","EN"
"クロワ","Croix","JA","EN"
"アルエット","Alouette","JA","EN"
"エクレール","Eclair","JA","EN"
"ビーコ","Bieko","JA","EN"
"ぴより","Piyori","JA","EN"
"シュセンドル","Misedor","JA","EN"
"邪悪新生マオ","Evil Rebirth Mao","JA","EN"
"エミーゼルXENO","Emizel XENO","JA","EN"
"氷帝ロザリンド","Frostlord Rozalin","JA","EN"
"炎帝マジョリタ","Flamelord Majorita","JA","EN"
"メロメ","Merome","JA","EN"
"ミカサ","Mikasa","JA","EN"
"リヴァイ","Levi","JA","EN"
"暴禍なるアデル","Calamity Adell","JA","EN"
"水着フーカ","Swimsuit Fuka","JA","EN"
"水着ルーシー","Swimsuit Lucy","JA","EN"
"アマネ","Amane","JA","EN"
"超魔王エトナ","Tyrant Overlord Etna","JA","EN"
"ゼタ","Zetta","JA","EN"
"ペタ","Petta","JA","EN"
"プラム","Pram","JA","EN"
"サロメ","Salome","JA","EN"
"シードル","Siedl","JA","EN"
"ワイズ","Wise","JA","EN"
"ケケ","Keke","JA","EN"
"ティミー","Timmy","JA","EN"
"アイコ","Aiko","JA","EN"
"鹿目まどか","Madoka Kaname","JA","EN"
"美樹さやか","Sayaka Miki","JA","EN"
"巴マミ","Mami Tomoe","JA","EN"
"佐倉杏子","Kyoko Sakura","JA","EN"
"暁美ほむら","Homura Akemi","JA","EN"
"魔法少女ラハール","Magical Girl Laharl","JA","EN"
"酒場の看板娘フロン","Tavern Mascot Flonne","JA","EN"
"影丸","Kagemaru","JA","EN"
"未来戦士プレネール","Future Warrior Pleinair","JA","EN"
"提督ロザリンド","Admiral Rozalin","JA","EN"
"未来ウサリア","Future Usalia","JA","EN"
"礼装ヴァルバトーゼ","Formal Valvatorez","JA","EN"
"礼装アルティナ","Formal Artina","JA","EN"
"日本一ちゃん","Nisa","JA","EN"
"サンタセラフィーヌ","Santa Seraphina","JA","EN"
"サンタ虎千代","Santa Torachiyo","JA","EN"
"超魔王ラハールちゃん","Supreme Girl Laharl","JA","EN"
"晴れ着エトナ","New Years Etna","JA","EN"
"リューベンス","Ryubence","JA","EN"
"魔王式メタリカ","Overlord Metallia","JA","EN"
"洗脳マジョリタ","Brainwashed Majorita","JA","EN"
"双月の黒兎ウー","Black Rabbit Usa","JA","EN"
"双月の白兎サリア","White Rabbit Salia","JA","EN"
"大魔拳リーゼロッタ","Great Demon Fist Lieze","JA","EN"
"セラフィーヌXENO","Seraphina XENO","JA","EN"
"サファイアXENO","Sapphire XENO","JA","EN"
"召喚士アデル","Summoner Adell","JA","EN"
"ヤスコ","Yasuko","JA","EN"
"メイドサルバトーレ","Maid Salvatore","JA","EN"
"栄冠ヴァルバトーゼ","Crowned Valvatorez","JA","EN"
"エレン","Eren","JA","EN"
"調査兵団フーカ","Survey Corps Fuka","JA","EN"
"超主人公アサギ","Super Hero Asagi","JA","EN"
"アサギ・アサギリ","Asagiri Asagi","JA","EN"
"プリニーアサギ","Prinny Mascot Asagi","JA","EN"
"恋霧アサギ","Asagi Koigiri","JA","EN"
"格ゲーアサギ","Fighter Asagi","JA","EN"
"花婿アルマース","Groom Almaz","JA","EN"
"花嫁サファイア","Bride Sapphire","JA","EN"
"花嫁セラフィーヌ","Bride Seraphina","JA","EN"
"花嫁ロザリンド","Bride Rozalin","JA","EN"
"原初の最強魔王キリア","Primeval Overlord Killia","JA","EN"
"無限超転生ゼット","Infinite Reincarnation Zed","JA","EN"
"ナギサ","Nagisa","JA","EN"
"水着アルティナ","Beach Artina","JA","EN"
"水着聖女エトナ","Beach Saint Etna","JA","EN"
"超ピュアフロン","Super Pure Flonne","JA","EN"
"夏服フェンリッヒ","Summer Fenrich","JA","EN"
"夏服ぴより","Summer Piyori","JA","EN"
"変身サーズデイ","Transformed Thursday","JA","EN"
"案内人マオ","Curator Mao","JA","EN"
"魔神ハナコ","Majin Hanako","JA","EN"
"雷帝ラハールちゃん","Thunderlady Laharl","JA","EN"
"ＲＫラハールちゃん","RK Girl Laharl","JA","EN"
"アレクサンダー","Alexander","JA","EN"
"オレ様魔王式ペタ","Atrocious Overlord Petta","JA","EN"
"トレニア","Trenia","JA","EN"
"魔王プラム","Overlord Pram","JA","EN"
"宇宙最強魔王式エトナ","Badass Overlord Etna","JA","EN"
"勇者ラハール","Brave Laharl","JA","EN"
"闇鮫魔王プレネール","Shadowshark Overlord Pleinair","JA","EN"
"女幹部エトナ","First Lady Etna","JA","EN"
"幼児ロザリンド","Young Rozalin","JA","EN"
"礼装リーゼロッタ","Formal Lieze","JA","EN"
"勇者フロン","Brave Flonne","JA","EN"
"サンタ未来ウサリア","Santa Future Usalia","JA","EN"
"黒夜シシリーXENO","Dark Yule Sicily Xeno","JA","EN"
"サンタ日本一ちゃん","Santa Nisa","JA","EN"
"黒サンタノエル","Dark Santa Noel","JA","EN"
"干支ルーシー","Zodiac Lucy","JA","EN"
"巫女メロディア","Priestess Melodia","JA","EN"
"晴れ着氷帝ロザリンド","New Year Frostlord Rozalin","JA","EN"
"魔神式プラム","Majin Pram","JA","EN"
"マローネ","Marona","JA","EN"
"アッシュ","Ash","JA","EN"
"ダークエクレール","Dark Eclair","JA","EN"
"獄落のサルバトーレ","Hell Prisoner Salvatore","JA","EN"
"アルティナXENO","Artina XENO","JA","EN"
"煌帝アクターレ","Shinelord Axel","JA","EN"
"雷光帝ラハール","Holy Thunderlord Laharl","JA","EN"
"フジ","Fuji","JA","EN"
"彼岸絶勝斎","Higan Zesshosai","JA","EN"
"フロン絶勝斎","Flonne Zesshosai","JA","EN"
"ピリリカ","Pirilika","JA","EN"
"アオ","Ao","JA","EN"
"デスコＺ","Desco X","JA","EN"
"星剣シシリーXENO","Starblade Sicily XENO","JA","EN"
"儚君ヴァルバトーゼ","Nightmare Tyrant Valvatorez","JA","EN"
"炎拳帝マジョリタ","Fire Fist Flamelord Majorita","JA","EN"
"魔探偵ラハールちゃん","Demon Detective Girl Laharl","JA","EN"
"おにぎり探偵虎千代","Onigiri Detective Torachiyo","JA","EN"
"アイリーン","Aileen","JA","EN"
"超越アデル","Transcendent Adell","JA","EN"
"水着セラフィーヌ","Beach Seraphina","JA","EN"
"水着ロザリンド","Beach Rozalin","JA","EN"
"水着ヴァルバトーゼ","Beach Valvatorez","JA","EN"
"水着ウサリア","Beach Usalia","JA","EN"
"水着堕天使フロン","Beach Fallen Angel Flonne","JA","EN"
"シーフォー","Ceefore","JA","EN"
"ウェイヤス","Yeyasu","JA","EN"
"水着ピリリカ","Beach Pirilika","JA","EN"
"水着彼岸絶勝斎","Beach Higan Zesshosai","JA","EN"
"バニーメーヴェル","Bunny Meaver","JA","EN"
"バニーリーゼロッタ","Bunny Liezerota","JA","EN"
"お月見氷帝ロザリンド","Harvest Moon Frostlord Rozalin","JA","EN"
"ミヅキ","Mizuki","JA","EN"
"ワイルドフェンリッヒ","Wild Fenrich","JA","EN"
"魔法剣士マリン","Magic Knight Marine","JA","EN"
"キョンシーハナコ","Jiangshi Hanako","JA","EN"
"魔女っ子エトナ","Witch Etna","JA","EN"
"小悪魔ベリルXENO","Cute Devil Beryl XENO","JA","EN"
"主役Ｂ","Main Hero B","JA","EN"
"天使ルーシー","Angel Lucy","JA","EN"
"礼装ウサリア","Formal Usalia","JA","EN"
"聖天使ロザリンド","Holy Angel Rozalin","JA","EN"
"堕天使シシリー","Fallen Angel Sicily","JA","EN"
"大天使プレネール","Archangel Pleinair","JA","EN"
"魔天使ラハールちゃん","Demonic Angel Girl Laharl","JA","EN"
"聖夜黒兎ウー","Yule Black Rabbit Usa","JA","EN"
"サンタアオ","Santa Ao","JA","EN"
"聖魔拳リーゼロッタ","Holy Demon Fist Liezerota","JA","EN"
"聖夜白兎サリア","Yule White Rabbit Salia","JA","EN"
"私服ノエル","Casualwear Noel","JA","EN"
"サンタフーカ","Santa Fuka","JA","EN"
"晴れ着サルバトーレ","New Year Salvatore","JA","EN"
"干支彼岸絶勝斎","Zodiac Higan Zesshosai","JA","EN"
"晴れ着プラム","New Years Pram","JA","EN"
"巫女ビーコ","Priestess Bieko","JA","EN"
"パティシエベリル","Patissier Raspberyl","JA","EN"
"制服メロディア","School Uniform Melodia","JA","EN"
"制服セラフィーヌ","School Uniform Seraphina","JA","EN"
"制服アルティナ","School Uniform Artina","JA","EN"
"さわやかさったん","Breezy Satina","JA","EN"
"バレンタインフロン","Valentine Flonne","JA","EN"
"ビスコ","Visco","JA","EN"
"ラビリ・ラルラ・ラー","Lavily Lalula La","JA","EN"
"マーリカ","Malia","JA","EN"
"魔神式メタリカ","Majin Metallia","JA","EN"
"フレイヤ","Freyja","JA","EN"
"ヴァルキリー","Valkyrie","JA","EN"
"は～たん","Haatan","JA","EN"
"軍神ヴァルバトーゼ","War God Valvatorez","JA","EN"
"マジカル美少女エトナ","Magical Beauty Etna","JA","EN"
"堕天深獄ピュアフロン","Pure Avatar Flonne","JA","EN"
"私服ラブオラクル","Casual Love Oracle","JA","EN"
"ピュアシシリーXENO","Pure Sicily XENO","JA","EN"
"マジカル☆アサギ","Magical Asagi","JA","EN"
"クラシックエミーゼル","Classical Emizel","JA","EN"
"炎舞ノ型ぴより","Flame Dancer Piyori","JA","EN"
"ランサローテ","Lanzarote","JA","EN"
"パンクロックフーカ","Punk Rock Fuka","JA","EN"
"歌姫ロザリンド","Songstress Rozalin","JA","EN"
"水着ハナコ","Beach Hanako","JA","EN"
"雷海帝ラハールちゃん","Beach Thunderlady Laharl","JA","EN"
"水着リーゼロッタ","Beach Liezerota","JA","EN"
"水着メロディア","Beach Melodia","JA","EN"
"浴衣フロン","Yukata Flonne","JA","EN"
"水着アオ","Beach Ao","JA","EN"
"水着日本一ちゃん","Beach Nisa","JA","EN"
"浴衣ピリリカ","Yukata Pirilika","JA","EN"
"夏服セラフィーヌ","Summer Seraphina","JA","EN"
"卓球奉行アクマ","Magistrate Akuma","JA","EN"
"応怨団長彼岸絶勝斎","Fearleader Higan Zesshosai","JA","EN"
"排球女王フーカXENO","Volleyball Queen Fuka XENO","JA","EN"
"超悪魔王ゼノン","Malefic Archdemon Overlord Zenon","JA","EN"
"帝球セラフィーヌXENO","Tennis Tyrant Seraphina XENO","JA","EN"
"ティノ・シェイド","Tino Shade","JA","EN"
"リィズ・スマート","Liz Smart","JA","EN"
"殲変万禍シシリーXENO","Thousand Kills Sicily XENO","JA","EN"
"クライ・アンドリヒ","Krai Andrey","JA","EN"
"シトリー・スマート","Citri Smart","JA","EN"
"悪魔殺しのサルディア","Sardia","JA","EN"
"礼装フロン","Formal Flonne","JA","EN"
"武闘礼装ウー","Battle Ceremonial Garb Usalia","JA","EN"
"礼装ラハール","Formal Laharl","JA","EN"
"礼装プレネール","Formal Pleinair","JA","EN"
"舞闘礼装サリア","Dance Battle Ceremonial Garb Seraphina","JA","EN"
"サンタサルバトーレ","Santa Salvatore","JA","EN"
"レミゼラ","Remilia","JA","EN"
"サンタ氷帝ロザリンド","Santa Frostlord Rozalin","JA","EN"
"サンタマジョレーヌ","Santa Majolene","JA","EN"
"サンタルーシー","Santa Lucy","JA","EN"
"サンタアルティナ","Santa Artina","JA","EN"
"晴れ着デスコ","Formal Desco","JA","EN"
"晴れ着フーカ","Formal Fuka","JA","EN"
"晴れ着聖女エトナ","New Year's Kimono Saint Etna","JA","EN"
"巫女ピリリカ","Shrine Maiden Piyori","JA","EN"
"制服サファイア","Uniform Seraphina","JA","EN"
"制服アオ","Uniform Ao","JA","EN"
"制服リーゼロッタ","School Uniform Liezerota","JA","EN"
"凶師ヴァルバトーゼ","Evil Teacher Valvatorez","JA","EN"
"制服ラハールちゃん","Uniform Girl Laharl","JA","EN"
"英雄アッシュ","Hero Ash","JA","EN"
"ヘンナ","Henna","JA","EN"
"マローネ×アッシュ","Maronash","JA","EN"
"英雄マローネ","Hero Marona","JA","EN"
"アプリコ","Apricot","JA","EN"
"歌姫シーフォー","Songstress Seashore","JA","EN"
"フジ絶勝斎","Fuji Zessho-sai","JA","EN"
"ニトラ","Nitra","JA","EN"
"歌姫奉行サークラ","Songstress Officer Sakura","JA","EN"
"愛の歌姫フロン","Love Songstress Flonne","JA","EN"
"フェンリッヒXENO","Fenrich XENO","JA","EN"
"兎兎魔王ウサリア","Rabbit Overlord Usalia","JA","EN"
"メイドロザリンド","Maid Rozalin","JA","EN"
"メイドベリルXENO","Maid Beryl XENO","JA","EN"
"リアム","Liam","JA","EN"
"婿雷帝ラハールちゃん","Groom Thunderlady Laharl","JA","EN"
"ティア","Tier","JA","EN"
"花嫁ラズベリル","Bride Raspberyl","JA","EN"
"水着マジョリタ","Swimsuit Majorita","JA","EN"
"水着ぴより","Swimsuit Pi","JA","EN"
"日焼けしたアマネ","Sunburned Amane","JA","EN"
"リリアンの狂子","Kyoko Needleworker","JA","EN"
"折り鶴の明日禍","Asuka Cranekick","JA","EN"
"ウサリア","Usalia","JA","EN"
"ラズベリル","Raspberyl","JA","EN"
"デスコ","Desco","JA","EN"
"サーズデイ","Thursday","JA","EN"
"タロー","Taro","JA","EN"
"ハナコ","Hanako","JA","EN"
"ティンク","Tink","JA","EN"
"ティンク（赤）","Red Tink","JA","EN"
"カーチス","Kurtis","JA","EN"
"ラミントン","Lamington","JA","EN"
"中ボス","Mid-Boss","JA","EN"
"ラズベリル先生","Ms. Raspberyl","JA","EN"
"魔王プリエ","Overlord Priere","JA","EN"
"鏡餅プリニー","Mirror Cake Prinny","JA","EN"
"体操服ラズベリル","Gym Shorts Raspberyl","JA","EN"
"世紀末魔王アサギ","Overlord Asagi","JA","EN"
"クリエイターアサギ","Creator Asagi","JA","EN"
"水着デスコ","Swimsuit Desco","JA","EN"
"デスコXENO","Desco XENO","JA","EN"
"水着プリニー","Swimsuit Prinny","JA","EN"
"礼装プリニー","Attired Prinny","JA","EN"
"黒サンタウサリア","Dark Santa Usalia","JA","EN"
"リーゼロッタ","Liezerota","JA","EN"
"聖女エトナ","Saint Etna","JA","EN"
"サクヤ","Sakuya","JA","EN"
"ベアトリス","Beatrice","JA","EN"
"鬼化レム","Demonic Rem","JA","EN"
"鬼化フロン","Demonic Flonne","JA","EN"
"プリニガーX","Pringer X","JA","EN"
"ティンクXENO","Tink XENO","JA","EN"
"堕天獄フロン","Fallen Vessel Flonne","JA","EN"
"トリア","Tria","JA","EN"
"水着ラズベリル","Swimsuit Raspberyl","JA","EN"
"デスゼット","Des X","JA","EN"
"スーパーデスコ","Super Desco","JA","EN"
"殺戮兵器プリニー","Murder Machine Prinny","JA","EN"
"サンタリーゼロッタ","Santa Liezerota","JA","EN"
"干支フーカ","Zodiac Fuka","JA","EN"
"魔王ロザリンド","Overlord Rozalin","JA","EN"
"メタリカ","Metallia","JA","EN"
"百騎兵","Hundred Knight","JA","EN"
"ネザリア","Nezaria","JA","EN"
"魔女式ラハールちゃん","Witch Laharl","JA","EN"
"ラヴゼット","Love X","JA","EN"
"大怪獣フロン","Flonnezilla","JA","EN"
"雷槍ミカサ","Thunder Spear Mikasa","JA","EN"
"アサギ・ゴースト","Asagi Ghost","JA","EN"
"ＨＧＣアサギ","HGC Asagi","JA","EN"
"水着シシリー","Beach Sicily","JA","EN"
"水着赤プリニー","Red Beach Prinny","JA","EN"
"お化けマジョリタ","Ghost Majorita","JA","EN"
"スペースラズベリル","Space Raspberyl","JA","EN"
"プリニガーV8","Pringer V8","JA","EN"
"暴走ウサリア","Berserk Usalia","JA","EN"
"全知全能の書ゼタ","Sacred Tome Zetta","JA","EN"
"３周年ラッキーボード","3rd Year Lucky Board Sign","JA","EN"
"リーゼロッタ・ダーク","Liezerota Dark","JA","EN"
"チョコ餅プリニー","Choco Mochi Prinny","JA","EN"
"魔女式セラフィーヌ","Witch Seraphina","JA","EN"
"ギグ","Gig","JA","EN"
"魔王アルティナ","Overlord Artina","JA","EN"
"ボトルメール","Bottlemail","JA","EN"
"堕天深獄フロン","Fallen Avatar Flonne","JA","EN"
"聖プリニー","Saint Prinny","JA","EN"
"ピーちゃん","Pii-chan","JA","EN"
"審判ラッキーボード","Referee Lucky Board","JA","EN"
"最終兵器フーカ","Ultimate Weapon Fuka","JA","EN"
"聖光女エトナ","Holy Saint Etna","JA","EN"
"水着聖プリニー","Beach Saint Prinny","JA","EN"
"スイセン","Suisen","JA","EN"
"覇道絶勝斎","Hado Zesshosai","JA","EN"
"兎兎マジョリタ","Toto Majorita","JA","EN"
"カボチャプリニー","Pumpkin Prinny","JA","EN"
"桜餅聖プリニー","Sakura Mochi Saint Prinny","JA","EN"
"晴れ着日本一ちゃん","New Year Nisa","JA","EN"
"沼プリニー","Swamp Prinny","JA","EN"
"魔女式覚醒ロザリンド","Awakened Witch Rozalin","JA","EN"
"ヴァレンティーヌ","Gelato Valentine","JA","EN"
"オーディンボード","Odin Board","JA","EN"
"スルト","Surtr","JA","EN"
"シン世紀魔王アサギ","Neo Overlord Asagi","JA","EN"
"ＤＪデスコ","DJ Desco","JA","EN"
"サマーボード","Summer Board","JA","EN"
"水着ベリルXENO","Beach Raspberyl XENO","JA","EN"
"怨泉奉行ユバナ","Yubana","JA","EN"
"スケボーマジョリタ","Skateboard Majorita","JA","EN"
"嘆きのラッキーボード","Grieving Lucky Board","JA","EN"
"礼装エトナ","Formal Etna","JA","EN"
"モチサーベル","Mochi Saber","JA","EN"
"干支セラフィーヌ","Zodiac Seraphina","JA","EN"
"チョコピーちゃん","Choco Piyori-chan","JA","EN"
"ボトルアッシュ","Bottle Ash","JA","EN"
"じゅそそ","Jusoso","JA","EN"
"イワシ泥棒3世","Sardine Thief III","JA","EN"
"儚君アルティナXENO","Nightmare Artina XENO","JA","EN"
"リアム専用プリニガー","Liam's exclusive Pringer","JA","EN"
"天城","Amagi","JA","EN"
"水着未来ウサリア","Swimsuit Future Usalia","JA","EN"
"レーニア","Rainier","JA","EN"
"水着アサギ","Swimsuit Asagi","JA","EN"
"水着魔神エトナ","Etna, the Swimsuit Goddess","JA","EN"
"ウルミ","Urumi","JA","EN"
"メイフェア","Mayfair","JA","EN"
"ボトルアプリコ","Bottle Apricot","JA","EN"
"水着マローネ","Swimsuit Marona","JA","EN"
"マローネ×アプリコ","Marona x Apricot","JA","EN"
"案内人アルマース","Guide Almaz","JA","EN"
"案内人サルバトーレ","Guide Salvatore","JA","EN"
"ゲーミングサーズデイ","Gaming Thursday","JA","EN"
"スペースフーカ","Space Fuka","JA","EN"
"デスデス様","Lord Desdeath","JA","EN"
"ハロウィンラハール改","Halloween Laharl Kai","JA","EN"
"ナースセラフィーヌ","Nurse Seraphina","JA","EN"
"忍者ピリリカ","Ninja Piririka","JA","EN"
"魔女リーゼロッタ","Witch Liezerota","JA","EN"
"ガーベイジフロン","Garbage Flonne","JA","EN"
"ベルカナン","Berkanan","JA","EN"
"アイニッキ","Ainikki","JA","EN"
"ファイアープリニー","Fire Prinny","JA","EN"
"礼装ロザリンド","Formal Rozalin","JA","EN"
"礼装日本一ちゃん","Formal Nisa","JA","EN"
"礼装マオ","Formal Mao","JA","EN"
"必殺地獄人ビヨンドＸ","Beyond X","JA","EN"
"礼装ラズベリル","Formal Raspberyl","JA","EN"
"サンタプレネール","Santa Pleninair","JA","EN"
"サンタラハールちゃん","Santa Girl Laharl","JA","EN"
"白巫女サリア","White Priestess Salia","JA","EN"
"黒巫女ウー","Black Shrine Maiden Usa","JA","EN"
"新年ラッキーボード","New Year Lucky Board","JA","EN"
"晴れ着ヴァルバトーゼ","Festive Valvatorez","JA","EN"
"晴れ着アルティナ","New Year Artina","JA","EN"
"制服フロン","School Uniform Flonne","JA","EN"
"凶師彼岸絶勝斎","Professor Higan Zesshosai","JA","EN"
"制服氷帝ロザリンド","School Uniform Frostlord Rozalin","JA","EN"
"制服ラハール","School Uniform Laharl","JA","EN"
"バレンタインフーカ","Valentine Fuka","JA","EN"
"にゃんだもんちゃん","Nyandamon Chan","JA","EN"
"帽子屋シシリーXENO","Hatter Sicily XENO","JA","EN"
"チェシャ猫マジョリタ","Cheshire Cat Majorita","JA","EN"
"アリスシシリー","Alice Sicily","JA","EN"
"三月ウサリア","March Usalia","JA","EN"
"ねむりプリニー","Sleeping Prinny","JA","EN"
"赤の女王セラフィーヌ","Red Queen Seraphina","JA","EN"
"フロン","Flonne","JA","EN"
"プリニー","Prinny","JA","EN"
"プリニガー","Pringer","JA","EN"
"サリア","Salia","JA","EN"
"黒兎ウー","Usa","JA","EN"
"ウー","Usa","JA","EN"
"エヌエー","N.A.","JA","EN"
"ロザーラ","Rozala","JA","EN"
"ティシエル","Tichelle","JA","EN"
"ブルースト","Bluest","JA","EN"
"プリンデスコ","Puddesco","JA","EN"
"始煌のエトナ","Pristine Glimmer Etna","JA","EN"
"ブルカノ","Vulcanus","JA","EN"
"ぴよりXENO","Piyori XENO","JA","EN"
"彼岸","Higan","JA","EN"
"ブラックピーちゃん","Black Pii-chan","JA","EN"
"幼雷帝ラハールちゃん","Young Thunderlady Laharl","JA","EN"
"ピリリカ絶勝斎","Pirilika Zesshosai","JA","EN"
"不動軍師彼岸","Immovable Strategist Higan","JA","EN"
